Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_unit
Skoda,Octavia,0.86,Universal,0.1549154915491549,0.25,Petrol,Automatic,0.09519038076152304,0.14,0.3862725450901804,1
Skoda,Octavia,0.88,Sedan,0.1639163916391639,0.2916666666666667,Diesel,Automatic,0.125751503006012,0.12,0.46750644145433723,2
Volkswagen,Rare,0.78,Coupe,0.1505040504050405,0.25,Petrol,Manual,0.07814629258517033,0.22,0.2494806279225117,1
Ford,Focus,0.88,Universal,0.15243824382438242,0.2708333333333333,Diesel,Automatic,0.09118236472945891,0.12,0.43464929859719437,2
Opel,Astra,0.72,Universal,0.18991899189918993,0.22916666666666666,Diesel,Manual,0.04307615230460922,0.28,0.2518370073480294,1
Toyota,Avensis,0.86,Universal,0.16491649164916491,0.375,Diesel,Manual,0.15430861723446893,0.14,0.41132264529058116,2
BMW,7 Series,0.7,Sedan,0.2599259925992599,0.5833333333333334,Diesel,Automatic,0.10821643286573146,0.3,0.32364729458917835,1
Toyota,Auris,0.8,Hatchback,0.18216921692169216,0.3329166666666667,Hybrid,Automatic,0.08016032064128256,0.2,0.3300255055565677,1
Fiat,Rare,0.74,Hatchback,0.1849184918491849,0.22916666666666666,Diesel,Automatic,0.03406813627254509,0.26,0.26281133695963355,1
Chevrolet,Aveo,0.82,Hatchback,0.18691869186918691,0.22916666666666666,Diesel,Manual,0.04408817635270541,0.18,0.3727454909819639,1
Renault,Megane,0.68,Sedan,0.18991899189918993,0.2708333333333333,Diesel,Manual,0.03006012024048096,0.32,0.22197335848166921,1
Suzuki,Rare,0.68,SUV,0.39993999399939995,0.5208333333333334,Petrol,Automatic,0.0531062124248497,0.32,0.46952728987386533,2
Volkswagen,Golf,0.78,Hatchback,0.22547254725472549,0.375,Petrol,Automatic,0.09468937875751503,0.22,0.3746659986639946,1
Daewoo,Rare,0.64,Hatchback,0.21992199219921993,0.25,Petrol,Manual,0.018036072144288578,0.36,0.23003902541925955,1
Nissan,Almera,0.64,Hatchback,0.08990899089908991,0.2708333333333333,Petrol,Manual,0.008016032064128256,0.36,0.0929226874802236,0
Renault,Grand Scenic,0.84,Minivan,0.16491649164916491,0.2708333333333333,Diesel,Manual,0.07314629258517034,0.16,0.36539746158984626,1
Honda,Rare,0.94,Hatchback,0.035903590359035904,0.2708333333333333,Plug-in Hybrid,Automatic,0.1833567134268537,0.06,0.17835671342685372,0
Toyota,Rare,0.88,Minivan,0.10191019101910191,0.3333333333333333,Petrol,Automatic,0.12324649298597194,0.12,0.290008588605783,1
BMW,5 Series,0.66,Sedan,0.0027992799279927994,0.4791666666666667,Petrol,Manual,0.05911823647294589,0.34,0.0012235582275662434,0
Mitsubishi,Outlander,0.64,Crossover,0.2082878287828783,0.375,Petrol,Manual,0.04408817635270541,0.36,0.217769222655838,1
Volkswagen,Touran,0.8,Minivan,0.16791679167916793,0.25,Petrol,Manual,0.07814629258517033,0.2,0.3040626707961377,1
Toyota,Rare,0.96,Hatchback,0.0024002400240024004,0.3333333333333333,Plug-in Hybrid,Automatic,0.18836673346693386,0.04,0.014696058784235138,0
Volkswagen,Transporter,0.66,Microvan,0.18991899189918993,0.35333333333333333,Diesel,Manual,0.061122244488977955,0.34,0.20953017145401917,1
Skoda,Octavia,0.8,Universal,0.20992099209920992,0.25,Petrol,Manual,0.06212424849699399,0.2,0.38057934049918013,1
Lincoln,Rare,0.86,Sedan,0.15991599159915992,0.375,Hybrid,Automatic,0.12024048096192384,0.14,0.39879759519038077,1
Renault,Scenic,0.66,Universal,0.17991799179917992,0.2708333333333333,Diesel,Manual,0.031062124248496994,0.34,0.19839679358717435,0
Mercedes,Rare,0.26,Universal,0.0999099909990999,0.4583333333333333,Diesel,Manual,0.008016032064128256,0.74,0.05073304503744331,0
Toyota,Land Cruiser Prado,0.72,Crossover,0.20192019201920192,0.5208333333333334,Metan/Propan,Automatic,0.14428857715430862,0.28,0.2678690714762859,1
Volkswagen,Polo,0.92,Hatchback,0.1699169916991699,0.25458333333333333,Diesel,Manual,0.08016032064128256,0.08,0.6793587174348698,2
Volkswagen,Jetta,0.84,Sedan,0.19791979197919793,0.25,Hybrid,Automatic,0.08216432865731463,0.16,0.43887775551102204,2
KIA,Rio,0.66,Universal,0.18337233723372337,0.22916666666666666,Petrol,Manual,0.023046092184368736,0.34,0.20224226230238254,1
BMW,X6,0.84,Crossover,0.1039103910391039,0.5789583333333334,Petrol,Automatic,0.3076152304609218,0.16,0.2295702516143398,1
Toyota,Corolla,0.7,Hatchback,0.1189118911891189,0.2916666666666667,Petrol,Automatic,0.05511022044088176,0.3,0.1470440881763527,0
Opel,Corsa,0.72,Hatchback,0.28292829282928295,0.22916666666666666,Diesel,Manual,0.033056112224448896,0.28,0.3760855043420174,1
Toyota,Auris,0.92,Hatchback,0.14591459145914593,0.3333333333333333,Hybrid,Automatic,0.11723446893787576,0.08,0.5831663326653307,2
Nissan,Qashqai,0.76,Crossover,0.20192019201920192,0.3729166666666667,Petrol,Manual,0.06913827655310621,0.24,0.30938800678279643,1
Ford,C-Max,0.9,Microvan,0.1409140914091409,0.2708333333333333,Diesel,Manual,0.08817635270541083,0.1,0.46893787575150303,2
Renault,Megane,0.84,Minivan,0.21992199219921993,0.2708333333333333,Diesel,Manual,0.04809619238476954,0.16,0.4878646181251392,2
Renault,Grand Scenic,0.74,Hatchback,0.23193519351935193,0.2708333333333333,Diesel,Manual,0.03507014028056112,0.26,0.3301059261379903,1
KIA,Sorento,0.94,SUV,0.0389028902890289,0.375,Diesel,Automatic,0.24649298597194388,0.06,0.1933817635270541,0
Nissan,Qashqai,0.86,Crossover,0.21892189218921893,0.2708333333333333,Diesel,Manual,0.1082064128256513,0.14,0.5465931863727455,2
Land Rover,Freelander,0.72,SUV,0.29992999299929995,0.4166666666666667,Diesel,Automatic,0.09018036072144289,0.28,0.39879759519038077,1
Mazda,626,0.46,Sedan,0.29992999299929995,0.0,Metan/Propan,Manual,0.17835671342685372,0.54,0.21271113655883195,1
Toyota,Prius,0.8,Hatchback,0.12091209120912091,0.3333333333333333,Hybrid,Automatic,0.07715430861723446,0.2,0.218436873747495,1
Hyundai,Matrix,0.66,Universal,0.24992499249924993,0.2708333333333333,Diesel,Manual,0.03807615230460922,0.34,0.27633043865508794,1
Toyota,Auris,0.86,Universal,0.1999199919991999,0.24791666666666667,Diesel,Manual,0.0841683366733467,0.14,0.49899799599198397,2
Audi,Q5,0.84,SUV,0.14291429142914291,0.375,Petrol,Automatic,0.17685370741482967,0.16,0.3164105989757292,1
Volkswagen,Caddy,0.84,Universal,0.17391739173917392,0.375,Diesel,Manual,0.09468937875751503,0.16,0.3854375417501669,1
Volkswagen,Golf,0.76,Universal,0.1999199919991999,0.25,Petrol,Manual,0.04609218436873747,0.24,0.30630491752736244,1
Nissan,Qashqai,0.72,Crossover,0.13757375737573757,0.2708333333333333,Diesel,Manual,0.06412825651302605,0.28,0.18191048764195059,0
Opel,Astra,0.8,Universal,0.21346934693469347,0.22916666666666666,Diesel,Manual,0.05460921843687375,0.2,0.38704317726361814,1
Toyota,Yaris,0.7,Sedan,0.193015301530153,0.2708333333333333,Petrol,Manual,0.03507014028056112,0.3,0.2398496993987976,1
Opel,Rare,0.42,Coupe,0.39993999399939995,0.375,Metan/Propan,Manual,0.014028056112224449,0.58,0.2651970607882432,1
Renault,Kadjar,0.9,Crossover,0.15034003400340035,0.2708333333333333,Diesel,Automatic,0.14819639278557115,0.1,0.5004175016700065,2
Ford,Fusion,0.94,Sedan,0.10491049104910491,0.375,Hybrid,Automatic,0.14829659318637275,0.06,0.5240480961923848,2
